model,split,mse,r_squared,accuracy,precision,f_score
Elastic net,test,1.9848285472128395,0.908296964664814,,,
Elastic net,train,1.875560230351926,0.9177342402306308,,,
Kernel SVM (sigma=0.01),test,,,0.8632478632478633,0.0,0.0
Kernel SVM (sigma=0.01),train,,,0.8388278388278388,0.0,0.0
Kernel SVM (sigma=0.1),test,,,0.9230769230769232,0.8181818181818182,0.6666666666666666
Kernel SVM (sigma=0.1),train,,,0.9304029304029304,0.8787878787878788,0.7532467532467532
Kernel SVM (sigma=1),test,,,0.9230769230769232,0.7333333333333333,0.7096774193548386
Kernel SVM (sigma=1),train,,,0.9853479853479854,0.9761904761904762,0.9534883720930232
Kernel SVM (sigma=2),test,,,0.905982905982906,0.6470588235294118,0.6666666666666667
Kernel SVM (sigma=2),train,,,0.9926739926739928,1.0,0.9767441860465116
Lasso,test,1.9848052979199229,0.9082980388284908,,,
Lasso,train,1.875885800670814,0.917719960076249,,,
Least squares,test,1.9843895771191584,0.9083172459581624,,,
Least squares,train,1.8755566396402013,0.9177343977263076,,,
Linear SVM,test,,,0.9401709401709402,0.7647058823529411,0.787878787878788
Linear SVM,train,,,0.9047619047619048,0.68,0.7234042553191491
Random forest,test,,,0.8888888888888888,0.6,0.5806451612903225
Random forest,train,,,0.9706959706959708,0.9736842105263158,0.902439024390244
Random forest (weighted),test,,,0.905982905982906,0.6190476190476191,0.7027027027027026
Random forest (weighted),train,,,0.9853479853479854,0.9166666666666666,0.9565217391304348
kNN,test,2.9856747429274466,0.862055875388068,,,
kNN,train,2.357387314765633,0.8966003568525874,,,
